blockNumber,baseFeeWei,baseFeeGwei,gasUsedRatio,rewardP10Wei,rewardP10Gwei,effectiveP10Wei,effectiveP10Gwei,rewardP25Wei,rewardP25Gwei,effectiveP25Wei,effectiveP25Gwei,rewardP50Wei,rewardP50Gwei,effectiveP50Wei,effectiveP50Gwei,rewardP75Wei,rewardP75Gwei,effectiveP75Wei,effectiveP75Gwei,rewardP90Wei,rewardP90Gwei,effectiveP90Wei,effectiveP90Gwei
25919697,100724025,0.100724025,0.12531135404760596,269073689,0.269073689,369797714,0.369797714,697527801,0.697527801,798251826,0.798251826,1000000000,1.0,1100724025,1.100724025,2000000000,2.0,2100724025,2.100724025,2000000000,2.0,2100724025,2.100724025
25919698,91288988,0.091288988,0.9366652564986604,133333,0.000133333,91422321,0.091422321,1000000,0.001,92288988,0.092288988,9128898,0.009128898,100417886,0.100417886,57042390,0.05704239,148331378,0.148331378,500000000,0.5,591288988,0.591288988
25919699,101254670,0.10125467,0.35756021666666665,1,1e-09,101254671,0.101254671,133333,0.000133333,101388003,0.101388003,17253530,0.01725353,118508200,0.1185082,200000000,0.2,301254670,0.30125467,2000000000,2.0,2101254670,2.10125467
25919700,97648997,0.097648997,0.11533257610498572,9764899,0.009764899,107413896,0.107413896,9764899,0.009764899,107413896,0.107413896,200000000,0.2,297648997,0.297648997,1000000000,1.0,1097648997,1.097648997,2000000000,2.0,2097648997,2.097648997
25919701,88258400,0.0882584,0.6070808600601504,133333,0.000133333,88391733,0.088391733,133333,0.000133333,88391733,0.088391733,50000000,0.05,138258400,0.1382584,573983080,0.57398308,662241480,0.66224148,2000000000,2.0,2088258400,2.0882584
25919702,90621096,0.090621096,0.6907731333333333,0,0.0,90621096,0.090621096,133333,0.000133333,90754429,0.090754429,4480740,0.00448074,95101836,0.095101836,105610103,0.105610103,196231199,0.196231199,1000000000,1.0,1090621096,1.090621096
25919703,94943113,0.094943113,0.48534266666666664,100000,0.0001,95043113,0.095043113,133333,0.000133333,95076446,0.095076446,19922807,0.019922807,114865920,0.11486592,261413086,0.261413086,356356199,0.356356199,2000000000,2.0,2094943113,2.094943113
25919704,94595210,0.09459521,0.10164206666666667,37264938,0.037264938,131860148,0.131860148,181242192,0.181242192,275837402,0.275837402,1000000000,1.0,1094595210,1.09459521,1118668618,1.118668618,1213263828,1.213263828,2000000000,2.0,2094595210,2.09459521
25919705,85174522,0.085174522,0.7127321333333333,100000,0.0001,85274522,0.085274522,133333,0.000133333,85307855,0.085307855,18880209,0.018880209,104054731,0.104054731,200000000,0.2,285174522,0.285174522,600000000,0.6,685174522,0.685174522
25919706,89704361,0.089704361,0.19362101666666667,100000,0.0001,89804361,0.089804361,133333,0.000133333,89837694,0.089837694,8664118,0.008664118,98368479,0.098368479,289439646,0.289439646,379144007,0.379144007,1000000000,1.0,1089704361,1.089704361
25919707,82833479,0.082833479,0.24865865,28125726,0.028125726,110959205,0.110959205,57958164,0.057958164,140791643,0.140791643,200200000,0.2002,283033479,0.283033479,1000000000,1.0,1082833479,1.082833479,2000000000,2.0,2082833479,2.082833479
25919708,77628610,0.07762861,0.7113972666666667,1,1e-09,77628611,0.077628611,12000000,0.012,89628610,0.08962861,114579563,0.114579563,192208173,0.192208173,500000000,0.5,577628610,0.57762861,1000000000,1.0,1077628610,1.07762861
25919709,81731228,0.081731228,0.86555035,100000,0.0001,81831228,0.081831228,120000,0.00012,81851228,0.081851228,400000,0.0004,82131228,0.082131228,100000000,0.1,181731228,0.181731228,600000000,0.6,681731228,0.681731228
25919710,89200447,0.089200447,0.7047339666666667,100000,0.0001,89300447,0.089300447,100000,0.0001,89300447,0.089300447,6797916,0.006797916,95998363,0.095998363,150000000,0.15,239200447,0.239200447,1000000000,1.0,1089200447,1.089200447
25919711,93766037,0.093766037,0.4279123166666667,100000,0.0001,93866037,0.093866037,133333,0.000133333,93899370,0.09389937,71584467,0.071584467,165350504,0.165350504,600000000,0.6,693766037,0.693766037,1996000000,1.996,2089766037,2.089766037
25919712,92076193,0.092076193,0.12653118333333332,283527952,0.283527952,375604145,0.375604145,433710339,0.433710339,525786532,0.525786532,1000000000,1.0,1092076193,1.092076193,2033032242,2.033032242,2125108435,2.125108435,2372617131,2.372617131,2464693324,2.464693324
25919713,83479297,0.083479297,0.978816,100500,0.0001005,83579797,0.083579797,1000000,0.001,84479297,0.084479297,10000000,0.01,93479297,0.093479297,100100000,0.1001,183579297,0.183579297,1000000000,1.0,1083479297,1.083479297
25919714,93472102,0.093472102,0.19692165,133333,0.000133333,93605435,0.093605435,133333,0.000133333,93605435,0.093605435,19496358,0.019496358,112968460,0.11296846,117147726,0.117147726,210619828,0.210619828,1106527898,1.106527898,1200000000,1.2
25919715,86389760,0.08638976,0.610159,1,1e-09,86389761,0.086389761,133333,0.000133333,86523093,0.086523093,47168134,0.047168134,133557894,0.133557894,606600000,0.6066,692989760,0.69298976,1335610240,1.33561024,1422000000,1.422
25919716,88768912,0.088768912,0.047304033333333335,9787210,0.00978721,98556122,0.098556122,84110608,0.084110608,172879520,0.17287952,500000000,0.5,588768912,0.588768912,1000000000,1.0,1088768912,1.088768912,2000000000,2.0,2088768912,2.088768912
25919717,78722580,0.07872258,0.89510475,133333,0.000133333,78855913,0.078855913,1000000,0.001,79722580,0.07972258,23476668,0.023476668,102199248,0.102199248,494775086,0.494775086,573497666,0.573497666,1335610240,1.33561024,1414332820,1.41433282
25919718,86498496,0.086498496,0.34053258333333336,0,0.0,86498496,0.086498496,21699738,0.021699738,108198234,0.108198234,100000000,0.1,186498496,0.186498496,763569667,0.763569667,850068163,0.850068163,2000000000,2.0,2086498496,2.086498496
25919719,83050074,0.083050074,0.5230931666666667,0,0.0,83050074,0.083050074,133333,0.000133333,83183407,0.083183407,9033225,0.009033225,92083299,0.092083299,178716670,0.17871667,261766744,0.261766744,600000000,0.6,683050074,0.683050074
25919720,83529546,0.083529546,0.18066448333333332,101468895,0.101468895,184998441,0.184998441,199520528,0.199520528,283050074,0.283050074,1000000000,1.0,1083529546,1.083529546,2000000000,2.0,2083529546,2.083529546,2100000001,2.100000001,2183529547,2.183529547
25919721,76861059,0.076861059,0.48169311666666664,0,0.0,76861059,0.076861059,10000000,0.01,86861059,0.086861059,45623225,0.045623225,122484284,0.122484284,250626228,0.250626228,327487287,0.327487287,1485648033,1.485648033,1562509092,1.562509092
25919722,76509288,0.076509288,0.6600018666666667,100000,0.0001,76609288,0.076609288,133333,0.000133333,76642621,0.076642621,3843052,0.003843052,80352340,0.08035234,300185547,0.300185547,376694835,0.376694835,1000000000,1.0,1076509288,1.076509288
25919723,79569695,0.079569695,0.39988701666666665,0,0.0,79569695,0.079569695,100000,0.0001,79669695,0.079669695,5000000,0.005,84569695,0.084569695,200000000,0.2,279569695,0.279569695,1427543309,1.427543309,1507113004,1.507113004
25919724,77578206,0.077578206,0.43755165,7757820,0.00775782,85336026,0.085336026,35650000,0.03565,113228206,0.113228206,200000000,0.2,277578206,0.277578206,1427543309,1.427543309,1505121515,1.505121515,2000000000,2.0,2077578206,2.077578206
25919725,76367049,0.076367049,0.4180417166666667,100000,0.0001,76467049,0.076467049,3641503,0.003641503,80008552,0.080008552,34549947,0.034549947,110916996,0.110916996,129921991,0.129921991,206289040,0.20628904,1000000000,1.0,1076367049,1.076367049
25919726,74802321,0.074802321,0.2712310666666667,100000,0.0001,74902321,0.074902321,1000000,0.001,75802321,0.075802321,10000000,0.01,84802321,0.084802321,100000000,0.1,174802321,0.174802321,1000000000,1.0,1074802321,1.074802321
25919727,70524210,0.07052421,0.48383498333333336,100000,0.0001,70624210,0.07062421,902687,0.000902687,71426897,0.071426897,12000000,0.012,82524210,0.08252421,500000000,0.5,570524210,0.57052421,1000000000,1.0,1070524210,1.07052421
25919728,70239204,0.070239204,0.57133075,100000,0.0001,70339204,0.070339204,730938,0.000730938,70970142,0.070970142,14949935,0.014949935,85189139,0.085189139,200000000,0.2,270239204,0.270239204,1500000000,1.5,1570239204,1.570239204
25919729,71491757,0.071491757,0.44487081666666667,133333,0.000133333,71625090,0.07162509,1000000,0.001,72491757,0.072491757,12000000,0.012,83491757,0.083491757,100000000,0.1,171491757,0.171491757,1000000000,1.0,1071491757,1.071491757
25919730,70506437,0.070506437,0.3982195333333333,133333,0.000133333,70639770,0.07063977,159827,0.000159827,70666264,0.070666264,21486513,0.021486513,91992950,0.09199295,550044433,0.550044433,620550870,0.62055087,2000000000,2.0,2070506437,2.070506437
25919731,68712393,0.068712393,0.7013328333333333,100000,0.0001,68812393,0.068812393,1000000,0.001,69712393,0.069712393,7133920,0.00713392,75846313,0.075846313,100000000,0.1,168712393,0.168712393,1000000000,1.0,1068712393,1.068712393
25919732,72170908,0.072170908,0.4300328666666667,159827,0.000159827,72330735,0.072330735,159827,0.000159827,72330735,0.072330735,10000000,0.01,82170908,0.082170908,150000000,0.15,222170908,0.222170908,1000000000,1.0,1072170908,1.072170908
25919733,70908511,0.070908511,0.6420517166666667,1,1e-09,70908512,0.070908512,159827,0.000159827,71068338,0.071068338,1000000,0.001,71908511,0.071908511,70304363,0.070304363,141212874,0.141212874,1000000000,1.0,1070908511,1.070908511
25919734,73426679,0.073426679,0.4288825333333333,133333,0.000133333,73560012,0.073560012,7133920,0.00713392,80560599,0.080560599,11000000,0.011,84426679,0.084426679,511022518,0.511022518,584449197,0.584449197,2000000000,2.0,2073426679,2.073426679
25919735,72121200,0.0721212,0.12850618333333333,133333,0.000133333,72254533,0.072254533,133333,0.000133333,72254533,0.072254533,4000000,0.004,76121200,0.0761212,74832158,0.074832158,146953358,0.146953358,1000000000,1.0,1072121200,1.0721212
25919736,65423056,0.065423056,0.9713378833333334,133333,0.000133333,65556389,0.065556389,159827,0.000159827,65582883,0.065582883,1000000,0.001,66423056,0.066423056,100100000,0.1001,165523056,0.165523056,1000000000,1.0,1065423056,1.065423056
25919737,73132147,0.073132147,0.42619479342226996,100000,0.0001,73232147,0.073232147,133333,0.000133333,73265480,0.07326548,35450589,0.035450589,108582736,0.108582736,926867853,0.926867853,1000000000,1.0,2000000000,2.0,2073132147,2.073132147
25919738,71782764,0.071782764,0.8807071866718273,133333,0.000133333,71916097,0.071916097,133333,0.000133333,71916097,0.071916097,400000,0.0004,72182764,0.072182764,27597726,0.027597726,99380490,0.09938049,254400000,0.2544,326182764,0.326182764
25919739,78614817,0.078614817,0.4201142,100000,0.0001,78714817,0.078714817,159827,0.000159827,78774644,0.078774644,10000000,0.01,88614817,0.088614817,254400000,0.2544,333014817,0.333014817,2000000000,2.0,2078614817,2.078614817
25919740,77044766,0.077044766,0.36358911666666666,133333,0.000133333,77178099,0.077178099,159827,0.000159827,77204593,0.077204593,159827,0.000159827,77204593,0.077204593,115010996,0.115010996,192055762,0.192055762,1000000000,1.0,1077044766,1.077044766
25919741,74417330,0.07441733,0.4244553166666667,1000000,0.001,75417330,0.07541733,33245117,0.033245117,107662447,0.107662447,107555498,0.107555498,181972828,0.181972828,220476895,0.220476895,294894225,0.294894225,1004653711,1.004653711,1079071041,1.079071041
25919742,73011872,0.073011872,0.7441576113794324,133333,0.000133333,73145205,0.073145205,133333,0.000133333,73145205,0.073145205,200000,0.0002,73211872,0.073211872,12652865,0.012652865,85664737,0.085664737,992388128,0.992388128,1065400000,1.0654
25919743,77468473,0.077468473,0.6542613215482554,0,0.0,77468473,0.077468473,133333,0.000133333,77601806,0.077601806,159827,0.000159827,77628300,0.0776283,150000000,0.15,227468473,0.227468473,600000000,0.6,677468473,0.677468473
25919744,80456070,0.08045607,0.4817308166666667,100000,0.0001,80556070,0.08055607,133333,0.000133333,80589403,0.080589403,24136821,0.024136821,104592891,0.104592891,150000000,0.15,230456070,0.23045607,1000000000,1.0,1080456070,1.08045607
25919745,80088604,0.080088604,0.5137516833333333,0,0.0,80088604,0.080088604,133333,0.000133333,80221937,0.080221937,6000000,0.006,86088604,0.086088604,139960995,0.139960995,220049599,0.220049599,1000000000,1.0,1080088604,1.080088604
25919746,80363942,0.080363942,0.5041486333333334,0,0.0,80363942,0.080363942,133333,0.000133333,80497275,0.080497275,6000000,0.006,86363942,0.086363942,150000000,0.15,230363942,0.230363942,1000000000,1.0,1080363942,1.080363942
25919747,80447292,0.080447292,0.44966866666666666,0,0.0,80447292,0.080447292,133333,0.000133333,80580625,0.080580625,93574277,0.093574277,174021569,0.174021569,600000000,0.6,680447292,0.680447292,1919552708,1.919552708,2000000000,2.0
25919748,79435038,0.079435038,0.40743285,133333,0.000133333,79568371,0.079568371,6000000,0.006,85435038,0.085435038,100000000,0.1,179435038,0.179435038,696663883,0.696663883,776098921,0.776098921,1288195962,1.288195962,1367631000,1.367631
25919749,77596770,0.07759677,0.47277495,100000,0.0001,77696770,0.07769677,159827,0.000159827,77756597,0.077756597,6000000,0.006,83596770,0.08359677,150000000,0.15,227596770,0.22759677,1000000000,1.0,1077596770,1.07759677
25919750,77068627,0.077068627,0.9549098833333334,133333,0.000133333,77201960,0.07720196,1000000,0.001,78068627,0.078068627,22931373,0.022931373,100000000,0.1,100000000,0.1,177068627,0.177068627,917732662,0.917732662,994801289,0.994801289
25919751,85833447,0.085833447,0.5919939333333334,1,1e-09,85833448,0.085833448,100000,0.0001,85933447,0.085933447,4291672,0.004291672,90125119,0.090125119,195557395,0.195557395,281390842,0.281390842,1241549734,1.241549734,1327383181,1.327383181
25919752,87807486,0.087807486,0.6919561833333333,1,1e-09,87807487,0.087807487,100000,0.0001,87907486,0.087907486,1000000,0.001,88807486,0.088807486,132192514,0.132192514,220000000,0.22,1000000000,1.0,1087807486,1.087807486
25919753,92021283,0.092021283,0.7352251,1,1e-09,92021284,0.092021284,100000,0.0001,92121283,0.092121283,159827,0.000159827,92181110,0.09218111,83693689,0.083693689,175714972,0.175714972,600000000,0.6,692021283,0.692021283
25919754,97432711,0.097432711,0.37128662376432664,100000,0.0001,97532711,0.097532711,133333,0.000133333,97566044,0.097566044,35000000,0.035,132432711,0.132432711,157500000,0.1575,254932711,0.254932711,1923000000,1.923,2020432711,2.020432711
25919755,94297488,0.094297488,0.3939673742690056,0,0.0,94297488,0.094297488,133333,0.000133333,94430821,0.094430821,10000000,0.01,104297488,0.104297488,228293342,0.228293342,322590830,0.32259083,1331702512,1.331702512,1426000000,1.426
25919756,91797836,0.091797836,0.3693079,0,0.0,91797836,0.091797836,133333,0.000133333,91931169,0.091931169,20100000,0.0201,111897836,0.111897836,200000000,0.2,291797836,0.291797836,1482416148,1.482416148,1574213984,1.574213984
25919757,88798524,0.088798524,0.21403948333333334,100000,0.0001,88898524,0.088898524,133333,0.000133333,88931857,0.088931857,1100000,0.0011,89898524,0.089898524,230656836,0.230656836,319455360,0.31945536,1000000000,1.0,1088798524,1.088798524
25919758,82450307,0.082450307,0.6187880666666666,159827,0.000159827,82610134,0.082610134,10000000,0.01,92450307,0.092450307,150000000,0.15,232450307,0.232450307,600000000,0.6,682450307,0.682450307,2000000000,2.0,2082450307,2.082450307
25919759,84898835,0.084898835,0.42596862255888285,0,0.0,84898835,0.084898835,0,0.0,84898835,0.084898835,3636237,0.003636237,88535072,0.088535072,153750000,0.15375,238648835,0.238648835,1000000000,1.0,1084898835,1.084898835
25919760,83327541,0.083327541,0.4984857356459835,100000,0.0001,83427541,0.083427541,133333,0.000133333,83460874,0.083460874,24821910,0.02482191,108149451,0.108149451,600000000,0.6,683327541,0.683327541,1000000000,1.0,1083327541,1.083327541
25919761,83295997,0.083295997,0.35848311126654453,33626234,0.033626234,116922231,0.116922231,100000000,0.1,183295997,0.183295997,176528698,0.176528698,259824695,0.259824695,576680376,0.576680376,659976373,0.659976373,2000000000,2.0,2083295997,2.083295997
25919762,80349050,0.08034905,0.06127564208069307,0,0.0,80349050,0.08034905,8410345281,8.410345281,8490694331,8.490694331,16314819114,16.314819114,16395168164,16.395168164,38397661326,38.397661326,38478010376,38.478010376,189374281486,189.374281486,189454630536,189.454630536
25919763,71536279,0.071536279,0.4868939432638875,0,0.0,71536279,0.071536279,160563,0.000160563,71696842,0.071696842,128463721,0.128463721,200000000,0.2,928463721,0.928463721,1000000000,1.0,2000000000,2.0,2071536279,2.071536279
25919764,71301890,0.07130189,0.5401325893778798,0,0.0,71301890,0.07130189,4164799,0.004164799,75466689,0.075466689,89420349,0.089420349,160722239,0.160722239,324062062,0.324062062,395363952,0.395363952,1334174533,1.334174533,1405476423,1.405476423
25919765,72017272,0.072017272,0.9998583333333333,0,0.0,72017272,0.072017272,133333,0.000133333,72150605,0.072150605,11000000,0.011,83017272,0.083017272,200000000,0.2,272017272,0.272017272,1000000000,1.0,1072017272,1.072017272
25919766,81016880,0.08101688,0.44660785,1000000,0.001,82016880,0.08201688,1000000,0.001,82016880,0.08201688,50000000,0.05,131016880,0.13101688,312122177,0.312122177,393139057,0.393139057,1334174533,1.334174533,1415191413,1.415191413
25919767,79935464,0.079935464,0.7951943,100000,0.0001,80035464,0.080035464,135021,0.000135021,80070485,0.080070485,9183104,0.009183104,89118568,0.089118568,150000000,0.15,229935464,0.229935464,2000000000,2.0,2079935464,2.079935464
25919768,85834587,0.085834587,0.5934774833333334,100000,0.0001,85934587,0.085934587,159827,0.000159827,85994414,0.085994414,5395747,0.005395747,91230334,0.091230334,150000000,0.15,235834587,0.235834587,2000000000,2.0,2085834587,2.085834587
25919769,87840487,0.087840487,0.5896275833333333,133333,0.000133333,87973820,0.08797382,159827,0.000159827,88000314,0.088000314,11000000,0.011,98840487,0.098840487,100000000,0.1,187840487,0.187840487,2000000000,2.0,2087840487,2.087840487
25919770,89808719,0.089808719,0.6093782666666666,133333,0.000133333,89942052,0.089942052,159827,0.000159827,89968546,0.089968546,1100000,0.0011,90908719,0.090908719,339081372,0.339081372,428890091,0.428890091,2000000000,2.0,2089808719,2.089808719
25919771,92264499,0.092264499,0.15745873333333332,100000000,0.1,192264499,0.192264499,200000000,0.2,292264499,0.292264499,500000000,0.5,592264499,0.592264499,1998670505,1.998670505,2090935004,2.090935004,4215504349,4.215504349,4307768848,4.307768848
25919772,84363400,0.0843634,0.20402921666666668,0,0.0,84363400,0.0843634,271389507,0.271389507,355752907,0.355752907,915636600,0.9156366,1000000000,1.0,1547648982,1.547648982,1632012382,1.632012382,2100000001,2.100000001,2184363401,2.184363401
25919773,78121125,0.078121125,0.7698693333333333,159827,0.000159827,78280952,0.078280952,4613224,0.004613224,82734349,0.082734349,64255003,0.064255003,142376128,0.142376128,600000000,0.6,678121125,0.678121125,1334174533,1.334174533,1412295658,1.412295658
25919774,83391748,0.083391748,0.94347455,1,1e-09,83391749,0.083391749,135021,0.000135021,83526769,0.083526769,322900,0.0003229,83714648,0.083714648,34030784,0.034030784,117422532,0.117422532,381307474,0.381307474,464699222,0.464699222
25919775,92637277,0.092637277,0.27832655,28555722,0.028555722,121192999,0.121192999,150000000,0.15,242637277,0.242637277,331571717,0.331571717,424208994,0.424208994,1000000000,1.0,1092637277,1.092637277,2000000000,2.0,2092637277,2.092637277
25919776,87503471,0.087503471,0.13929338333333333,0,0.0,87503471,0.087503471,61255,6.1255e-05,87564726,0.087564726,407058988,0.407058988,494562459,0.494562459,2000000000,2.0,2087503471,2.087503471,2036000000,2.036,2123503471,2.123503471
25919777,79612701,0.079612701,0.82722645,159827,0.000159827,79772528,0.079772528,1000000,0.001,80612701,0.080612701,34766637,0.034766637,114379338,0.114379338,331812428,0.331812428,411425129,0.411425129,1547648982,1.547648982,1627261683,1.627261683
25919778,86125546,0.086125546,0.46241608333333334,0,0.0,86125546,0.086125546,110000,0.00011,86235546,0.086235546,5333333,0.005333333,91458879,0.091458879,200000000,0.2,286125546,0.286125546,2000000000,2.0,2086125546,2.086125546
25919779,85316313,0.085316313,0.19094505,133333,0.000133333,85449646,0.085449646,1000000,0.001,86316313,0.086316313,1500000,0.0015,86816313,0.086816313,200000000,0.2,285316313,0.285316313,1001108073,1.001108073,1086424386,1.086424386
25919780,78724456,0.078724456,0.74700725,697933,0.000697933,79422389,0.079422389,4400000,0.0044,83124456,0.083124456,17435233,0.017435233,96159689,0.096159689,314890415,0.314890415,393614871,0.393614871,2000000000,2.0,2078724456,2.078724456
25919781,83585833,0.083585833,0.2959564333333333,0,0.0,83585833,0.083585833,0,0.0,83585833,0.083585833,10000000,0.01,93585833,0.093585833,602264560,0.60226456,685850393,0.685850393,2000000000,2.0,2083585833,2.083585833
25919782,79322046,0.079322046,0.7196614666666666,853909,0.000853909,80175955,0.080175955,3966102,0.003966102,83288148,0.083288148,10655687,0.010655687,89977733,0.089977733,200000000,0.2,279322046,0.279322046,991428183,0.991428183,1070750229,1.070750229
25919783,83678045,0.083678045,0.18332658333333332,0,0.0,83678045,0.083678045,10000000,0.01,93678045,0.093678045,36395804,0.036395804,120073849,0.120073849,986048680,0.98604868,1069726725,1.069726725,2100000001,2.100000001,2183678046,2.183678046
25919784,77053392,0.077053392,0.95065465,618274,0.000618274,77671666,0.077671666,1000000,0.001,78053392,0.078053392,10200858,0.010200858,87254250,0.08725425,100000000,0.1,177053392,0.177053392,602264560,0.60226456,679317952,0.679317952
25919785,85734509,0.085734509,0.47916915,0,0.0,85734509,0.085734509,1000000,0.001,86734509,0.086734509,23645132,0.023645132,109379641,0.109379641,254265491,0.254265491,340000000,0.34,2000000000,2.0,2085734509,2.085734509
