client,clientVersion,chainId,mode,trialId,rpc,outDir,normalSubmitted,normalAccepted,normalRejected,normalErrored,normalPendingAfterNormal,normalQueuedAfterNormal,normalPendingAtTxpoolCheck,normalQueuedAtTxpoolCheck,normalMissingAtTxpoolCheck,normalPendingFinal,normalQueuedFinal,normalMissingFromTxpoolFinal,normalReceipts,normalSuccessfulReceipts,normalFailedReceipts,normalGasUsedOnChain,normalCostWei,normalCostEth,normalInclusionRate,normalSuccessfulInclusionRate,evictionRate,attackSubmitted,attackAccepted,attackRejected,attackErrored,attackPendingAtTxpoolCheck,attackQueuedAtTxpoolCheck,attackDroppedAtTxpoolCheck,attackPendingFinal,attackQueuedFinal,attackDroppedFinal,attackReceipts,attackSuccessfulReceipts,attackFailedReceipts,attackSuccessfulReceiptsPerSender,attackSuccessfulSenders,attackGasUsedOnChain,attackCostWei,attackCostEth,attackCostPerSuccessfulSenderWei,attackCostPerEvictedNormalWei,priceUnitWei,setupPrice,normalPrice,attackerPrice,normalGas,attackGas,normalCalldataBytes,attackCalldataPaddingBytes,normalSenders,normalTxsPerSender,attackSenders,attackTxsPerSender,postAttackBlocks,txpoolContentUsed
besu,besu/v26.6.1/linux-x86_64/openjdk-java-25,13371349,baseline,trial01_fullwindow10,http://127.0.0.1:32848,/home/wh/ETH/pos-exp/go-ethereum-pos/devtools/mpfuzz_style_exp5_pos/scale_runs/besu_baseline_trial01_fullwindow10_20260831_001110,7040,7040,0,0,7040,0,7040,0,0,7040,0,0,7040,7040,0,724556800,1242097371427329331200,1242.0973714273293312,1.000000,1.000000,,0,0,0,0,0,0,0,0,0,0,0,0,0,{},0,0,0,0,,,571428571428,10,3,7,150000,500000,8192,0,55,128,0,4,10,False
besu,besu/v26.6.1/linux-x86_64/openjdk-java-25,13371349,attack,trial01,http://127.0.0.1:32859,/home/wh/ETH/pos-exp/go-ethereum-pos/devtools/mpfuzz_style_exp5_pos/scale_runs/besu_attack_trial01_20260831_091147,7040,7040,0,0,7040,0,0,0,7040,0,0,7040,0,0,0,0,0,0,0.000000,0.000000,1.000000,16000,16000,0,0,15657,3,340,15657,3,340,125,125,0,"{""1"":125}",125,13000000,51999999999948000000,51.999999999948,415999999999584000,7386363636356250,571428571428,10,3,7,150000,500000,8192,8192,55,128,125,128,1,False
erigon,erigon/3.5.0/linux-amd64/go1.25.11,13371350,baseline,trial01,http://127.0.0.1:32870,/home/wh/ETH/pos-exp/go-ethereum-pos/devtools/mpfuzz_style_exp5_pos/scale_runs/erigon_baseline_trial01_20260831_100626,7040,7040,0,0,7040,0,7040,0,0,7040,0,0,7040,7040,0,147840000,253439999999746560000,253.43999999974656,1.000000,1.000000,,0,0,0,0,0,0,0,0,0,0,0,0,0,{},0,0,0,0,,,571428571428,10,3,7,21000,500000,0,0,55,128,0,4,3,False
erigon,erigon/3.5.0/linux-amd64/go1.25.11,13371350,attack,trial01,http://127.0.0.1:32880,/home/wh/ETH/pos-exp/go-ethereum-pos/devtools/mpfuzz_style_exp5_pos/scale_runs/erigon_attack_trial01_20260831_103425,7040,7040,0,0,7040,0,0,0,7040,0,0,7040,0,0,0,0,0,0,0.000000,0.000000,1.000000,16000,15875,0,125,10000,5875,0,10000,5875,0,125,125,0,"{""1"":125}",125,4209125,16836499999983163500,16.8364999999831635,134691999999865308,2391548295452153,571428571428,10,3,7,21000,500000,0,0,55,128,125,128,1,True
